Effective date,Period-end,Balance types,Transactions,Date posted,Amount,CR/DR
2021-Jul-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Jul-21,$11.94, ,
2021-Aug-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Aug-21,$12.39, ,
2021-Sep-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Sep-21,$12.45, ,
2021-Oct-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Oct-21,$12.09, ,
2021-Nov-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Nov-21,$12.55, ,
2021-Nov-17,2015-Sep-30,Balance amounts,Payment                          ,2021-Nov-22,$344.60,CR,
2021-Nov-22,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Nov-22,$0.18, ,
2021-Dec-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2021-Dec-21,$10.42, ,
2022-Jan-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jan-21,$11.18, ,
2022-Jan-31,2015-Sep-30,Balance amounts,Trsf. from RC0001 2021-Sep-30    ,2022-Feb-09,"$1,000.00",CR,
2022-Feb-09,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Feb-09,$5.65, ,
2015-Dec-31,2015-Sep-30,Balance amounts,Instalment Interest              ,2022-Feb-18,$0.01,CR,
2022-Feb-24,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Feb-18,$3.36, ,
2022-Mar-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Mar-21,$5.65, ,
2022-Apr-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Apr-21,$7.04, ,
2022-May-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-May-21,$6.84, ,
2015-Dec-31,2015-Sep-30,Balance amounts,Instalment Interest              ,2022-Jun-21,$0.01, ,
2022-Jun-21,2015-Sep-30,Balance amounts,Arrears Interest                 ,2022-Jun-21,$7.11, ,
,2015-Sep-30,Balance amounts,Accrued arrears interest         ,,$3.72, ,
2021-Jul-21,2016-Sep-30,Balance amounts,Arrears Interest                 ,2021-Jul-21,$28.81, ,
2021-Aug-21,2016-Sep-30,Balance amounts,Arrears Interest                 ,2021-Aug-21,$29.91, ,
